No,Category,Issue Title,Updated Grading,Resolution Window,Resolution Timeframe
1,Outcome Indicators ,Meaningful Alertuction in H&S incidents over last 12 months e.g. Alertuction greater than 20%,,,
2,Outcome Indicators ,Increase on H&S incidents over the last 12 months,,,
3,Outcome Indicators ,Meaningful Alertuction in lost day work cases,,,
4,Outcome Indicators ,Gender breakdown in management position reflects gender breakdown in total workforce ,,,
5,Outcome Indicators ,More than 80% of workforce on open ended permanent contracts ,,,
6,Outcome Indicators ,More than 80 % of workers on temporary contracts ,,,
7,Outcome Indicators ,A well functioning greivance mechanism with 100% grievances responded to ,,,
8,Outcome Indicators ,A well functioning greivance mechanism with 100% grievances resolved  ,,,
9,Outcome Indicators ,Workers feel respected at work,,,
10,Outcome Indicators ,Workers are generally satisfied that their rights are respected at the site,,,
11,Outcome Indicators ,Workers report feeling safe in their work environment ,,,
12,Outcome Indicators ,Workers report feeling unsafe in their work environment ,Caution,,
13,Outcome Indicators ,Workers feel their pay meets their needs,,,
14,Outcome Indicators ,Workers feel their pay does not meets their needs,,,
15,Outcome Indicators ,Workers feel they have a stable income for the next year,,,
16,Outcome Indicators ,Workers are satisfied about opportunities for development / promotion,,,
17,Site's licenses & Certifications,Site does not have an up-to-date legally requiAlert business / factory licence.,Alert,60 days,Desktop
18,Health & Safety Management,No management system in place to manage H&S requirements / minimum standards,Caution,,
19,Health & Safety Management,There is no H&S policy in place,Optimal,,
20,Health & Safety Management,No Health & Safety Manager in place ,Caution,,
21,Health & Safety Management,"H&S Manager in place, but does not have the adequate training / experience / authority to manage H&S ",Optimal,,
22,Health & Safety Management,No H&S representative / safety officer available on site,Caution,,
23,Health & Safety Management,No H&S worker committee / H&S representatives in place,Alert,30 days,Follow Up
24,Health & Safety Management,"H&S committee / H&S reps in place, but not effective e.g. do not meet regularly, function not known by all workers or outputs not recorded / communicated",Optimal,,
25,Health & Safety Management,"H&S committee / H&S representatives in place, but no response / action from management or representatives not elected by workforce",Optimal,,
26,Health & Safety Management,Well functioning H&S committee ,,,
27,Health & Safety Management,Accurate H&S meeting minutes produced and communicated to workforce ,,,
28,Health & Safety Management,No / inadequate H&S risk / hazard factors assessment conducted,Alert,30 days,Follow Up
29,Health & Safety Management,H&S risk / hazard factors assessment conducted but missing crucial elements e.g. fire safety etc. ,Caution,,
30,Health & Safety Management,H&S risk / hazard factors assessment conducted but missing minor elements,Optimal,,
31,Health & Safety Management,H&S risk assessment conducted but records missing,Optimal,,
32,Health & Safety Management,Comprehensive H&S Audit / risk assessment conducted for internal analysis & root cause corrective actions,,,
33,Health & Safety Management,Failure to submit H&S audit to external party as per legal requirements e.g. government authority ,Alert,30 days,Follow Up
34,Health & Safety Management,Site has internationally recognised H&S certification e.g. OHSAS 18000,,,
35,Health & Safety Management,Regular Health & Safety inspections conducted,,,
36,Health & Safety Management,No quality management system in place including anti-blade / anti-needle policy / scissors etc. ,Caution,,
37,Health & Safety Management,Engagement / collaboration with local communities on H&S issues ,,,
38,Health & Safety Management,Clear postings of emergency notices including pictures / languages for understanding where appropriate ,,,
39,Health & Safety Training,No ongoing H&S training for all workers,Alert,30 days,Follow Up
40,Health & Safety Training,Systemic lapses/ inadequate H&S training for all workers ,Caution,,
41,Health & Safety Training,Isolated lapse of ongoing H&S training for workers,Optimal,,
42,Health & Safety Training,Systemic incidents of missing records for general H&S training,Caution,,
43,Health & Safety Training,Isolated incidents of missing records for general H&S training,Optimal,,
44,Health & Safety Training,No H&S training for employees working in hazardous conditions e.g. chemicals / machinery etc. ,Alert,30 days,Follow Up
45,Health & Safety Training,Systemic lapses / inadequate training for employees working in hazardous conditions e.g. chemicals / machinery etc. ,Caution,,
46,Health & Safety Training,Isolated lapses in training for employees working in hazardous conditions e.g. chemicals / machinery etc. ,Optimal,,
47,Health & Safety Training,Employees are provided with a H&S induction pack,,,
48,Health & Safety Training,H&S video used for training,,,
49,Health & Safety Training,No / inadequate H&S training for managers ,Caution,,
50,Health & Safety Training,"No / inadequate H&S training for Health & Safety representatives, including training about their role",Caution,30 days,Follow Up
51,Health & Safety Training,No training for first aiders,Alert,30 days,Follow Up
52,Health & Safety Training,No / inadequate training for safe handling of loads e.g. manual handling training,Caution,,
53,Health & Safety Training,Isolated incidents of lack of appropriate training for safe handling of loads e.g. manual handling training ,Optimal,,
54,Health & Safety Training,Excellent trained fire protection team,,,
55,Health & Safety Training,Workers are trained on medical issues such as HIV / AIDS,,,
